,Model,Brand,Sales,MarketShare
0,"Storm 1.3"" CurvedDisplay",boat,619130.0,15.29
1,"ColorFit Caliber Smart Watch with 15-day battery, 1.69"" display, 60 Sports Modes",noise,275607.0,6.81
2,"Icon Buzz BT Calling with 1.69"" display , AI Voice Assistance, Built-In Games",noise,219512.0,5.42
3,ColorFit Pro 2,noise,148555.0,3.67
4,"Qube with 1.4"" Full Touch display, Multi-Sports modes, 7-day Battery,Spo2",noise,142612.0,3.52
5,Storm call 1.69 inch HD display with bluetooth calling and 550 nits brightness,boat,125524.0,3.1
6,Watch 2,dizo,110067.0,2.72
7,"Wave Neo with 1.69 inch , 2.5D Curved Display & Multiple Sports Modes",boat,98388.0,2.43
8,wrb-sw-colorfitpro2-std-blk,noise,93075.0,2.3
9,"ColorFit Icon 2 1.8 Display, Bluetooth Calling, AI Voice Assistance",noise,80483.0,1.99
